,images,labels,is_rgb
0,data/ILSVRC2012_img_val/ILSVRC2012_val_00000001.JPEG,490,1
1,data/ILSVRC2012_img_val/ILSVRC2012_val_00000002.JPEG,361,1
2,data/ILSVRC2012_img_val/ILSVRC2012_val_00000003.JPEG,171,1
3,data/ILSVRC2012_img_val/ILSVRC2012_val_00000004.JPEG,822,1
4,data/ILSVRC2012_img_val/ILSVRC2012_val_00000005.JPEG,297,1
5,data/ILSVRC2012_img_val/ILSVRC2012_val_00000006.JPEG,482,1
6,data/ILSVRC2012_img_val/ILSVRC2012_val_00000007.JPEG,13,1
7,data/ILSVRC2012_img_val/ILSVRC2012_val_00000008.JPEG,704,1
8,data/ILSVRC2012_img_val/ILSVRC2012_val_00000009.JPEG,599,1
9,data/ILSVRC2012_img_val/ILSVRC2012_val_00000010.JPEG,164,1
10,data/ILSVRC2012_img_val/ILSVRC2012_val_00000011.JPEG,649,1
11,data/ILSVRC2012_img_val/ILSVRC2012_val_00000012.JPEG,11,1
12,data/ILSVRC2012_img_val/ILSVRC2012_val_00000013.JPEG,73,1
13,data/ILSVRC2012_img_val/ILSVRC2012_val_00000014.JPEG,286,1
14,data/ILSVRC2012_img_val/ILSVRC2012_val_00000015.JPEG,554,1
15,data/ILSVRC2012_img_val/ILSVRC2012_val_00000016.JPEG,6,1
16,data/ILSVRC2012_img_val/ILSVRC2012_val_00000017.JPEG,648,1
17,data/ILSVRC2012_img_val/ILSVRC2012_val_00000018.JPEG,399,1
18,data/ILSVRC2012_img_val/ILSVRC2012_val_00000019.JPEG,749,1
19,data/ILSVRC2012_img_val/ILSVRC2012_val_00000020.JPEG,545,1
20,data/ILSVRC2012_img_val/ILSVRC2012_val_00000021.JPEG,13,1
21,data/ILSVRC2012_img_val/ILSVRC2012_val_00000022.JPEG,204,1
22,data/ILSVRC2012_img_val/ILSVRC2012_val_00000023.JPEG,318,1
23,data/ILSVRC2012_img_val/ILSVRC2012_val_00000024.JPEG,693,1
24,data/ILSVRC2012_img_val/ILSVRC2012_val_00000025.JPEG,399,1
25,data/ILSVRC2012_img_val/ILSVRC2012_val_00000026.JPEG,304,1
26,data/ILSVRC2012_img_val/ILSVRC2012_val_00000027.JPEG,102,1
27,data/ILSVRC2012_img_val/ILSVRC2012_val_00000028.JPEG,207,1
28,data/ILSVRC2012_img_val/ILSVRC2012_val_00000029.JPEG,480,1
29,data/ILSVRC2012_img_val/ILSVRC2012_val_00000030.JPEG,780,1
30,data/ILSVRC2012_img_val/ILSVRC2012_val_00000031.JPEG,644,1
31,data/ILSVRC2012_img_val/ILSVRC2012_val_00000032.JPEG,275,1
32,data/ILSVRC2012_img_val/ILSVRC2012_val_00000033.JPEG,14,1
33,data/ILSVRC2012_img_val/ILSVRC2012_val_00000034.JPEG,954,0
34,data/ILSVRC2012_img_val/ILSVRC2012_val_00000035.JPEG,249,1
35,data/ILSVRC2012_img_val/ILSVRC2012_val_00000036.JPEG,790,1
36,data/ILSVRC2012_img_val/ILSVRC2012_val_00000037.JPEG,501,1
37,data/ILSVRC2012_img_val/ILSVRC2012_val_00000038.JPEG,547,1
38,data/ILSVRC2012_img_val/ILSVRC2012_val_00000039.JPEG,809,1
39,data/ILSVRC2012_img_val/ILSVRC2012_val_00000040.JPEG,606,1
40,data/ILSVRC2012_img_val/ILSVRC2012_val_00000041.JPEG,297,1
41,data/ILSVRC2012_img_val/ILSVRC2012_val_00000042.JPEG,927,1
42,data/ILSVRC2012_img_val/ILSVRC2012_val_00000043.JPEG,424,1
43,data/ILSVRC2012_img_val/ILSVRC2012_val_00000044.JPEG,156,1
44,data/ILSVRC2012_img_val/ILSVRC2012_val_00000045.JPEG,60,1
45,data/ILSVRC2012_img_val/ILSVRC2012_val_00000046.JPEG,983,1
46,data/ILSVRC2012_img_val/ILSVRC2012_val_00000047.JPEG,256,1
47,data/ILSVRC2012_img_val/ILSVRC2012_val_00000048.JPEG,207,1
48,data/ILSVRC2012_img_val/ILSVRC2012_val_00000049.JPEG,281,1
49,data/ILSVRC2012_img_val/ILSVRC2012_val_00000050.JPEG,456,1
50,data/ILSVRC2012_img_val/ILSVRC2012_val_00000051.JPEG,413,1
51,data/ILSVRC2012_img_val/ILSVRC2012_val_00000052.JPEG,498,1
52,data/ILSVRC2012_img_val/ILSVRC2012_val_00000053.JPEG,561,1
53,data/ILSVRC2012_img_val/ILSVRC2012_val_00000054.JPEG,750,1
54,data/ILSVRC2012_img_val/ILSVRC2012_val_00000055.JPEG,182,1
55,data/ILSVRC2012_img_val/ILSVRC2012_val_00000056.JPEG,267,1
56,data/ILSVRC2012_img_val/ILSVRC2012_val_00000057.JPEG,118,1
57,data/ILSVRC2012_img_val/ILSVRC2012_val_00000058.JPEG,893,1
58,data/ILSVRC2012_img_val/ILSVRC2012_val_00000059.JPEG,597,1
59,data/ILSVRC2012_img_val/ILSVRC2012_val_00000060.JPEG,840,1
60,data/ILSVRC2012_img_val/ILSVRC2012_val_00000061.JPEG,836,1
61,data/ILSVRC2012_img_val/ILSVRC2012_val_00000062.JPEG,107,1
62,data/ILSVRC2012_img_val/ILSVRC2012_val_00000063.JPEG,647,1
63,data/ILSVRC2012_img_val/ILSVRC2012_val_00000064.JPEG,471,1
64,data/ILSVRC2012_img_val/ILSVRC2012_val_00000065.JPEG,945,1
65,data/ILSVRC2012_img_val/ILSVRC2012_val_00000066.JPEG,451,1
66,data/ILSVRC2012_img_val/ILSVRC2012_val_00000067.JPEG,214,1
67,data/ILSVRC2012_img_val/ILSVRC2012_val_00000068.JPEG,790,1
68,data/ILSVRC2012_img_val/ILSVRC2012_val_00000069.JPEG,291,1
69,data/ILSVRC2012_img_val/ILSVRC2012_val_00000070.JPEG,837,1
70,data/ILSVRC2012_img_val/ILSVRC2012_val_00000071.JPEG,707,1
71,data/ILSVRC2012_img_val/ILSVRC2012_val_00000072.JPEG,193,1
72,data/ILSVRC2012_img_val/ILSVRC2012_val_00000073.JPEG,397,1
73,data/ILSVRC2012_img_val/ILSVRC2012_val_00000074.JPEG,568,1
74,data/ILSVRC2012_img_val/ILSVRC2012_val_00000075.JPEG,401,1
75,data/ILSVRC2012_img_val/ILSVRC2012_val_00000076.JPEG,705,1
76,data/ILSVRC2012_img_val/ILSVRC2012_val_00000077.JPEG,200,1
77,data/ILSVRC2012_img_val/ILSVRC2012_val_00000078.JPEG,202,1
78,data/ILSVRC2012_img_val/ILSVRC2012_val_00000079.JPEG,31,1
79,data/ILSVRC2012_img_val/ILSVRC2012_val_00000080.JPEG,949,1
80,data/ILSVRC2012_img_val/ILSVRC2012_val_00000081.JPEG,361,1
81,data/ILSVRC2012_img_val/ILSVRC2012_val_00000082.JPEG,98,1
82,data/ILSVRC2012_img_val/ILSVRC2012_val_00000083.JPEG,709,1
83,data/ILSVRC2012_img_val/ILSVRC2012_val_00000084.JPEG,483,1
84,data/ILSVRC2012_img_val/ILSVRC2012_val_00000085.JPEG,563,1
85,data/ILSVRC2012_img_val/ILSVRC2012_val_00000086.JPEG,695,1
86,data/ILSVRC2012_img_val/ILSVRC2012_val_00000087.JPEG,122,1
87,data/ILSVRC2012_img_val/ILSVRC2012_val_00000088.JPEG,497,1
88,data/ILSVRC2012_img_val/ILSVRC2012_val_00000089.JPEG,914,1
89,data/ILSVRC2012_img_val/ILSVRC2012_val_00000090.JPEG,476,1
90,data/ILSVRC2012_img_val/ILSVRC2012_val_00000091.JPEG,102,1
91,data/ILSVRC2012_img_val/ILSVRC2012_val_00000092.JPEG,199,1
92,data/ILSVRC2012_img_val/ILSVRC2012_val_00000093.JPEG,104,1
93,data/ILSVRC2012_img_val/ILSVRC2012_val_00000094.JPEG,221,1
94,data/ILSVRC2012_img_val/ILSVRC2012_val_00000095.JPEG,138,1
95,data/ILSVRC2012_img_val/ILSVRC2012_val_00000096.JPEG,257,1
96,data/ILSVRC2012_img_val/ILSVRC2012_val_00000097.JPEG,188,1
97,data/ILSVRC2012_img_val/ILSVRC2012_val_00000098.JPEG,436,1
98,data/ILSVRC2012_img_val/ILSVRC2012_val_00000099.JPEG,229,1
99,data/ILSVRC2012_img_val/ILSVRC2012_val_00000100.JPEG,52,1
100,data/ILSVRC2012_img_val/ILSVRC2012_val_00000101.JPEG,377,1
101,data/ILSVRC2012_img_val/ILSVRC2012_val_00000102.JPEG,200,1
