,File,Class,X,Y,H,W,labels,is_rgb,images
0,val_0.JPEG,n03444034,0,32,44,62,107,1,data/tiny-imagenet-200/val/images/val_0.JPEG
1,val_1.JPEG,n04067472,52,55,57,59,139,1,data/tiny-imagenet-200/val/images/val_1.JPEG
2,val_2.JPEG,n04070727,4,0,60,55,140,1,data/tiny-imagenet-200/val/images/val_2.JPEG
3,val_3.JPEG,n02808440,3,3,63,63,69,1,data/tiny-imagenet-200/val/images/val_3.JPEG
4,val_4.JPEG,n02808440,9,27,63,48,69,1,data/tiny-imagenet-200/val/images/val_4.JPEG
5,val_5.JPEG,n04399382,7,0,59,63,161,1,data/tiny-imagenet-200/val/images/val_5.JPEG
6,val_6.JPEG,n04179913,0,0,63,56,147,1,data/tiny-imagenet-200/val/images/val_6.JPEG
7,val_7.JPEG,n02823428,5,0,57,63,73,1,data/tiny-imagenet-200/val/images/val_7.JPEG
8,val_8.JPEG,n04146614,0,31,60,60,145,1,data/tiny-imagenet-200/val/images/val_8.JPEG
9,val_9.JPEG,n02226429,0,3,63,57,39,1,data/tiny-imagenet-200/val/images/val_9.JPEG
10,val_10.JPEG,n04371430,37,38,44,45,158,0,data/tiny-imagenet-200/val/images/val_10.JPEG
11,val_11.JPEG,n07753592,0,1,63,47,188,1,data/tiny-imagenet-200/val/images/val_11.JPEG
12,val_12.JPEG,n02226429,5,12,57,53,39,1,data/tiny-imagenet-200/val/images/val_12.JPEG
13,val_13.JPEG,n03770439,21,33,36,43,120,1,data/tiny-imagenet-200/val/images/val_13.JPEG
14,val_14.JPEG,n02056570,0,19,63,47,21,1,data/tiny-imagenet-200/val/images/val_14.JPEG
15,val_15.JPEG,n02906734,1,0,48,22,79,1,data/tiny-imagenet-200/val/images/val_15.JPEG
16,val_16.JPEG,n02125311,7,16,60,55,33,1,data/tiny-imagenet-200/val/images/val_16.JPEG
17,val_17.JPEG,n04486054,0,9,63,63,165,1,data/tiny-imagenet-200/val/images/val_17.JPEG
18,val_18.JPEG,n04285008,0,11,63,57,153,1,data/tiny-imagenet-200/val/images/val_18.JPEG
19,val_19.JPEG,n03763968,18,6,53,63,119,1,data/tiny-imagenet-200/val/images/val_19.JPEG
20,val_20.JPEG,n03814639,16,22,33,36,123,1,data/tiny-imagenet-200/val/images/val_20.JPEG
21,val_21.JPEG,n03837869,40,7,51,63,124,1,data/tiny-imagenet-200/val/images/val_21.JPEG
22,val_22.JPEG,n01983481,27,28,61,63,18,1,data/tiny-imagenet-200/val/images/val_22.JPEG
23,val_23.JPEG,n01629819,0,1,52,48,1,1,data/tiny-imagenet-200/val/images/val_23.JPEG
24,val_24.JPEG,n04532670,0,19,63,31,170,1,data/tiny-imagenet-200/val/images/val_24.JPEG
25,val_25.JPEG,n04074963,40,0,58,63,141,1,data/tiny-imagenet-200/val/images/val_25.JPEG
26,val_26.JPEG,n04540053,36,0,44,6,171,1,data/tiny-imagenet-200/val/images/val_26.JPEG
27,val_27.JPEG,n04371430,2,5,63,54,158,1,data/tiny-imagenet-200/val/images/val_27.JPEG
28,val_28.JPEG,n02906734,37,24,52,32,79,1,data/tiny-imagenet-200/val/images/val_28.JPEG
29,val_29.JPEG,n02094433,10,1,58,63,25,1,data/tiny-imagenet-200/val/images/val_29.JPEG
30,val_30.JPEG,n03796401,0,15,63,46,121,1,data/tiny-imagenet-200/val/images/val_30.JPEG
31,val_31.JPEG,n07614500,0,2,63,60,179,1,data/tiny-imagenet-200/val/images/val_31.JPEG
32,val_32.JPEG,n03837869,59,6,63,63,124,1,data/tiny-imagenet-200/val/images/val_32.JPEG
33,val_33.JPEG,n03937543,2,0,52,55,130,1,data/tiny-imagenet-200/val/images/val_33.JPEG
34,val_34.JPEG,n06596364,43,19,51,33,176,1,data/tiny-imagenet-200/val/images/val_34.JPEG
35,val_35.JPEG,n02977058,7,23,63,63,86,1,data/tiny-imagenet-200/val/images/val_35.JPEG
36,val_36.JPEG,n01768244,9,3,45,38,6,1,data/tiny-imagenet-200/val/images/val_36.JPEG
37,val_37.JPEG,n03930313,0,63,63,63,129,1,data/tiny-imagenet-200/val/images/val_37.JPEG
38,val_38.JPEG,n04099969,0,11,30,59,142,1,data/tiny-imagenet-200/val/images/val_38.JPEG
39,val_39.JPEG,n03891332,1,0,62,63,127,1,data/tiny-imagenet-200/val/images/val_39.JPEG
40,val_40.JPEG,n02125311,0,8,58,63,33,1,data/tiny-imagenet-200/val/images/val_40.JPEG
41,val_41.JPEG,n02125311,0,2,63,63,33,1,data/tiny-imagenet-200/val/images/val_41.JPEG
42,val_42.JPEG,n02279972,0,1,63,63,44,1,data/tiny-imagenet-200/val/images/val_42.JPEG
43,val_43.JPEG,n02231487,25,7,46,47,40,1,data/tiny-imagenet-200/val/images/val_43.JPEG
44,val_44.JPEG,n03584254,0,12,63,62,110,1,data/tiny-imagenet-200/val/images/val_44.JPEG
45,val_45.JPEG,n02231487,14,0,50,63,40,1,data/tiny-imagenet-200/val/images/val_45.JPEG
46,val_46.JPEG,n04376876,5,9,63,23,159,1,data/tiny-imagenet-200/val/images/val_46.JPEG
47,val_47.JPEG,n07720875,0,21,16,63,184,1,data/tiny-imagenet-200/val/images/val_47.JPEG
48,val_48.JPEG,n02504458,8,11,47,63,57,1,data/tiny-imagenet-200/val/images/val_48.JPEG
49,val_49.JPEG,n02909870,12,39,32,59,80,1,data/tiny-imagenet-200/val/images/val_49.JPEG
50,val_50.JPEG,n01774750,0,12,63,51,9,1,data/tiny-imagenet-200/val/images/val_50.JPEG
51,val_51.JPEG,n02129165,7,1,63,63,34,1,data/tiny-imagenet-200/val/images/val_51.JPEG
52,val_52.JPEG,n02226429,0,5,63,63,39,1,data/tiny-imagenet-200/val/images/val_52.JPEG
53,val_53.JPEG,n01917289,0,20,53,63,14,1,data/tiny-imagenet-200/val/images/val_53.JPEG
54,val_54.JPEG,n02841315,5,8,27,22,75,1,data/tiny-imagenet-200/val/images/val_54.JPEG
55,val_55.JPEG,n12267677,34,19,54,32,199,1,data/tiny-imagenet-200/val/images/val_55.JPEG
56,val_56.JPEG,n01784675,0,0,63,63,10,1,data/tiny-imagenet-200/val/images/val_56.JPEG
57,val_57.JPEG,n03250847,37,38,63,52,99,1,data/tiny-imagenet-200/val/images/val_57.JPEG
58,val_58.JPEG,n02793495,0,12,63,60,66,1,data/tiny-imagenet-200/val/images/val_58.JPEG
59,val_59.JPEG,n04398044,9,37,21,49,160,1,data/tiny-imagenet-200/val/images/val_59.JPEG
60,val_60.JPEG,n02808440,0,16,63,50,69,1,data/tiny-imagenet-200/val/images/val_60.JPEG
61,val_61.JPEG,n07579787,0,3,63,60,177,1,data/tiny-imagenet-200/val/images/val_61.JPEG
62,val_62.JPEG,n02094433,6,0,61,63,25,1,data/tiny-imagenet-200/val/images/val_62.JPEG
63,val_63.JPEG,n03355925,0,3,3,63,101,1,data/tiny-imagenet-200/val/images/val_63.JPEG
64,val_64.JPEG,n03388043,26,1,43,57,102,1,data/tiny-imagenet-200/val/images/val_64.JPEG
65,val_65.JPEG,n04562935,28,21,42,56,173,1,data/tiny-imagenet-200/val/images/val_65.JPEG
66,val_66.JPEG,n03733131,23,6,30,56,118,1,data/tiny-imagenet-200/val/images/val_66.JPEG
67,val_67.JPEG,n03355925,19,0,23,63,101,1,data/tiny-imagenet-200/val/images/val_67.JPEG
68,val_68.JPEG,n01443537,10,19,63,42,0,1,data/tiny-imagenet-200/val/images/val_68.JPEG
69,val_69.JPEG,n03126707,46,1,63,40,95,1,data/tiny-imagenet-200/val/images/val_69.JPEG
70,val_70.JPEG,n01770393,30,14,58,37,7,1,data/tiny-imagenet-200/val/images/val_70.JPEG
71,val_71.JPEG,n03970156,0,21,46,44,131,1,data/tiny-imagenet-200/val/images/val_71.JPEG
